,date,count, value
540,2014-05-09,3289,16583.34
541,2008-03-03,1374,12258.9
542,2009-02-09,1516,8270.87
543,2011-12-09,1394,12184.26
544,2014-04-01,1079,16532.61
545,2008-03-04,2459,12213.8
546,2008-06-10,1413,12289.76
547,2011-11-01,1291,11657.96
548,2014-04-02,1177,16573.0
549,2016-03-10,1275,16995.13
550,2008-03-05,2198,12254.99
551,2008-06-11,1484,12083.77
552,2009-01-02,1986,9034.69
553,2010-01-04,1716,10583.96
554,2011-11-02,1555,11836.04
555,2012-08-01,2273,12976.13
556,2012-10-08,1564,13583.65
557,2014-04-03,1232,16572.55
558,2016-03-11,1577,17213.31
559,2008-03-06,1638,12040.39
560,2008-06-12,1350,12141.58
561,2010-01-05,1671,10572.02
562,2011-11-03,1605,12044.47
563,2012-08-02,1521,12878.88
564,2012-10-09,1847,13473.53
565,2014-04-04,2419,16412.71
566,2014-07-10,1397,16915.07
567,2008-03-07,2990,11893.69
568,2010-01-06,1837,10573.68
569,2010-04-12,1376,11005.97
570,2011-11-04,1319,11983.24
571,2012-08-03,1585,13096.17
572,2014-07-11,1472,16943.81
573,2009-01-05,2042,8952.89
